HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,GrainOilDM,GrainTestWeight,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,CropExists,Comments
1999,1,-117.087514,46.778729,,SW,220.83661417322836,44.06,2.387,,,,,,,320.7688116697513,44.1,0.44,1,
1999,2,-117.08706455,46.77869163,,SW,242.73622047244095,45.26,2.602,,,,,,,391.49443030271544,43.3,0.45,1,
1999,3,-117.086678,46.778791,,SW,255.34448818897638,44.52,2.489,,,,,,,366.36587190619866,43.38,0.41,1,
1999,4,-117.08626,46.778761,,SW,289.1781496062992,44.64,2.432,,,,,,,408.89041935044736,43.41,0.29,1,
1999,5,-117.085842,46.778666,,SW,341.5206692913386,44.27,2.599,,,,,,,466.3200887707508,40.93,0.43,1,
1999,6,-117.08541875,46.77877321,,SW,256.9931102362205,42.84,2.33,,,,,,,358.0367068087077,40.46,0.38,1,
1999,7,-117.085006,46.778632,,SW,303.6220472440945,42.3,2.525,,,,,,,352.9226960362722,40.15,0.46,1,
1999,8,-117.084588,46.778721,,SW,183.48917322834646,41.98,2.177,,,,,,,306.73210025323874,44.1,0.32,1,
1999,9,-117.08417,46.778674,,SW,235.6496062992126,41.32,2.357,,,,,,,467.3725229834993,43.37,0.36,1,
1999,10,-117.083752,46.778737,,SW,221.88484251968504,42.07,2.424,,,,,,,349.82086108131085,43.74,0.5,1,
1999,11,-117.083334,46.778658,,SW,240.81692913385825,41.72,2.406,,,,,,,341.8834035932424,43.21,0.69,1,
1999,12,-117.08293984,46.77873108,,SW,239.92125984251967,42.84,2.526,,,,,,,357.36093005897624,44.32,0.4,1,
1999,13,-117.082498,46.778764,,SW,252.08169291338584,43.61,2.559,,,,,,,348.1730514022825,42.32,0.43,1,
1999,14,-117.08163216,46.77868863,,SW,256.2795275590551,42.47,2.064,,,,,,,399.4013896128838,42.04,0.31,1,
1999,15,-117.081244,46.778707,,SW,255.80708661417322,43.57,2.233,,,,,,,409.7949895686116,43.11,0.33,1,
1999,16,-117.080408,46.778826,,SW,332.78543307086613,42.15,2.234,,,,,,,472.41075261239206,43.92,0.44,1,
1999,17,-117.07999,46.778797,,SW,381.41732283464563,42.21,2.37,,,,,,,590.6265414618996,42.95,0.45,1,
1999,18,-117.08888012,46.77895174,,SW,275.9055118110236,41.54,2.802,,,,,,,380.9141622570491,43.38,0.53,1,
1999,19,-117.08846626,46.77882662,,SW,201.39271653543307,42.76,2.472,,,,,,,322.5803169952593,43.24,0.49,1,
1999,20,-117.088064,46.778867,,SW,194.20275590551182,42.22,2.465,,,,,,,154.66597409956435,44.23,0.43,1,
1999,21,-117.087646,46.778842,,SW,265.4478346456693,42.16,2.226,,,,,,,286.5028952566496,42.51,0.3,1,
1999,22,-117.087228,46.779015,,SW,162.46062992125985,43.03,2.31,,,,,,,252.21575699196916,44.2,0.32,1,
1999,23,-117.08683097,46.77900278,,SW,207.05708661417324,43.26,2.338,,,,,,,326.1901808959867,43.35,0.48,1,
1999,24,-117.086392,46.779077,,SW,231.8307086614173,43.09,2.604,,,,,,,333.6729072578614,43.57,0.52,1,
1999,25,-117.085974,46.779047,,SW,316.751968503937,40.87,2.104,,,,,,,457.7404200634372,43.56,0.47,1,
1999,26,-117.085556,46.778952,,SW,336.003937007874,41.43,2.513,,,,,,,435.1017334341559,43.68,0.4,1,
1999,27,-117.08511704,46.77906282,,SW,328.43503937007875,41.24,2.443,,,,,,,432.2602338039898,44.15,0.4,1,
1999,28,-117.08472,46.778918,,SW,280.9055118110236,41.84,2.582,,,,,,,408.3888552392488,44.07,0.43,1,
1999,29,-117.084302,46.779007,,SW,278.17913385826773,41.58,2.381,,,,,,,408.11629315566324,43.8,0.46,1,
1999,30,-117.083884,46.77896,,SW,272.05216535433067,41.25,2.558,,,,,,,374.39890326209223,44.57,0.5,1,
1999,31,-117.083466,46.779023,,SW,292.1653543307086,42.24,2.563,,,,,,,402.6044821320412,44.58,0.43,1,
1999,32,-117.083048,46.778944,,SW,246.0482283464567,41.45,2.329,,,,,,,311.25328083989507,44.55,0.33,1,
1999,33,-117.08263,46.779013,,SW,150.14271653543307,41.73,2.94,,,,,,,271.4369852214963,43.51,0.56,1,
1999,34,-117.082212,46.77905,,SW,263.0954724409449,41.68,2.201,,,,,,,366.4131953263907,43.32,0.31,1,
1999,35,-117.081794,46.778852,,SW,184.60629921259843,41.63,2.318,,,,,,,368.8291088512144,44.28,0.35,1,
1999,36,-117.08140584,46.77900737,,SW,338.34809494017094,,,,,,,,,465.98376720039215,,,1,
1999,37,-117.080958,46.778993,,SW,,,,,,,,,,,,,0,
1999,38,-117.08054,46.778849,,SW,325.2608267716535,41.22,2.1,,,,,,,414.22368412027765,42.84,0.33,1,
1999,39,-117.080122,46.779112,,SW,,,,,,,,,,,,,0,
1999,40,-117.079704,46.779083,,SW,,,,,,,,,,,,,0,
1999,41,-117.079286,46.779047,,SW,337.6082677165354,41.01,2.359,,,,,,,515.4286028100767,43.27,0.49,1,
1999,42,-117.08870619,46.77911338,,SW,347.78051181102364,41.13,2.432,,,,,,,450.97655203813804,43.27,0.42,1,
1999,43,-117.088318,46.779153,,SW,351.44192913385825,41.41,2.383,,,,,,,425.16955132966865,43.39,0.34,1,
1999,44,-117.0879,46.779128,,SW,227.8297244094488,41.43,2.341,,,,,,,328.3765510986519,43.75,0.41,1,
1999,45,-117.08746351,46.77928833,,SW,182.98228346456693,42.86,2.775,,,,,,,299.51607611548565,43.77,0.44,1,
1999,46,-117.087064,46.779278,,SW,218.90748031496062,40.84,2.215,,,,,,,313.6034163511866,43.43,0.32,1,
1999,47,-117.086646,46.779363,,SW,255.16732283464566,41.68,2.503,,,,,,,340.8829298598314,44.18,0.38,1,
1999,48,-117.086228,46.779333,,SW,324.69488188976374,42.01,2.282,,,,,,,421.7008988263259,44.24,0.29,1,
1999,49,-117.08581,46.779238,,SW,377.99212598425197,41.81,2.43,,,,,,,567.8357938089348,46.56,0.44,1,
1999,50,-117.08533553,46.77932123,,SW,381.1466535433071,41.55,2.562,,,,,,,489.5892355887276,41.16,0.34,1,
1999,51,-117.08496351,46.77919681,,SW,283.48917322834643,41.34,2.39,,,,,,,411.1493010565136,43.53,0.37,1,
1999,52,-117.084556,46.779293,,SW,360.6299212598425,41.83,2.468,,,,,,,541.4494233345313,44.11,0.39,1,
1999,53,-117.084138,46.779246,,SW,323.2627952755906,49.12,2.233,,,,,,,472.38331214396595,43.4,0.37,1,
1999,54,-117.08372,46.779309,,SW,257.1653543307086,49.33,2.017,,,,,,,369.44033584199764,44.11,0.39,1,
1999,55,-117.083302,46.77923,,SW,235.3198818897638,49.32,2.219,,,,,,,359.7376452565405,44.05,0.42,1,
1999,56,-117.08290191,46.77931128,,SW,326.8602362204724,45.89,2.178,,,,,,,443.78512112215486,46.89,0.47,1,
