ID2,TreatmentId,StartYear,EndYear
1,A4,1999,2015
2,A5,1999,2015
3,A5,1999,2015
4,A6,1999,2015
5,B1,1999,2015
6,B2,1999,2015
7,B3,1999,2015
8,B3,1999,2015
9,B4,1999,2015
10,B5,1999,2015
11,B6,1999,2015
12,B6,1999,2015
13,C1,1999,2015
14,C3,1999,2015
15,C3,1999,2015
16,C4,1999,2015
17,C5,1999,2015
18,A1,1999,2015
19,A2,1999,2015
20,A2,1999,2015
21,A3,1999,2015
22,A4,1999,2015
23,A4,1999,2015
24,A5,1999,2015
25,A6,1999,2015
26,B1,1999,2015
27,B2,1999,2015
28,B3,1999,2015
29,B3,1999,2015
30,B4,1999,2015
31,B5,1999,2015
32,B6,1999,2015
33,B6,1999,2015
34,C1,1999,2015
35,C2,1999,2015
36,C2,1999,2015
37,C3,1999,2015
38,C4,1999,2015
39,C4,1999,2015
40,C5,1999,2015
41,C6,1999,2015
42,A1,1999,2015
43,A1,1999,2015
44,A2,1999,2015
45,A3,1999,2015
46,A3,1999,2015
47,A4,1999,2015
48,A5,1999,2015
49,A6,1999,2015
50,B1,1999,2015
51,B2,1999,2015
52,B2,1999,2015
53,B3,1999,2015
54,B4,1999,2015
55,B5,1999,2015
56,B5,1999,2015
57,B6,1999,2015
58,C1,1999,2015
59,C2,1999,2015
60,C2,1999,2015
61,C3,1999,2015
62,C3,1999,2015
63,C4,1999,2015
64,C5,1999,2015
65,C6,1999,2015
66,C6,1999,2015
67,C6,1999,2015
68,A1,1999,2015
69,A2,1999,2015
70,A2,1999,2015
71,A3,1999,2015
72,A4,1999,2015
73,A4,1999,2015
74,A6,1999,2015
75,A6,1999,2015
76,B1,1999,2015
77,B2,1999,2015
78,B3,1999,2015
79,B3,1999,2015
80,B4,1999,2015
81,B5,1999,2015
82,B6,1999,2015
83,C1,1999,2015
84,C1,1999,2015
85,C2,1999,2015
86,C3,1999,2015
87,C3,1999,2015
88,C4,1999,2015
89,C5,1999,2015
90,C5,1999,2015
91,C6,1999,2015
92,C6,1999,2015
93,C5,1999,2015
94,C5,1999,2015
95,A1,1999,2015
96,A1,1999,2015
97,A2,1999,2015
98,A3,1999,2015
99,A3,1999,2015
100,A4,1999,2015
101,A5,1999,2015
102,A6,1999,2015
103,B1,1999,2015
104,B1,1999,2015
105,B2,1999,2015
106,B3,1999,2015
107,B4,1999,2015
108,B5,1999,2015
109,B6,1999,2015
110,C1,1999,2015
111,C1,1999,2015
112,C2,1999,2015
113,C3,1999,2015
114,C3,1999,2015
115,C4,1999,2015
