HarvestYear,ID2,Longitude,Latitude,SampleID,Crop,GrainYieldDryPerArea,GrainCarbon,GrainNitrogen,GrainProtein,GrainMoisture,GrainStarch,GrainWGlutDM,GrainOilDM,GrainTestWeight,ResidueMassDryPerArea,ResidueCarbon,ResidueNitrogen,CropExists,Comments,Crop_AgCROS,GrainYieldDryPerArea_AgCROS,ResidueMassDryPerArea_AgCROS
1999,1,-117.08751399999998,46.778729,,SW,220.8366141732284,44.06,2.387,,,,,,,320.7688116697513,44.1,0.44,1,,Triticum aestivum (Spring Wheat),2208.366141732284,3207.688116697513
1999,2,-117.08706455,46.77869163,,SW,242.73622047244092,45.26,2.602,,,,,,,391.4944303027154,43.3,0.45,1,,Triticum aestivum (Spring Wheat),2427.3622047244094,3914.944303027154
1999,3,-117.086678,46.778791,,SW,255.3444881889764,44.52,2.489,,,,,,,366.36587190619866,43.38,0.41,1,,Triticum aestivum (Spring Wheat),2553.444881889764,3663.6587190619866
1999,4,-117.08626000000001,46.778760999999996,,SW,289.17814960629914,44.64,2.432,,,,,,,408.89041935044736,43.41,0.29,1,,Triticum aestivum (Spring Wheat),2891.781496062991,4088.9041935044734
1999,5,-117.085842,46.778665999999994,,SW,341.5206692913386,44.27,2.5989999999999998,,,,,,,466.32008877075083,40.93,0.43,1,,Triticum aestivum (Spring Wheat),3415.206692913386,4663.200887707509
1999,6,-117.08541875,46.77877321,,SW,256.9931102362205,42.84,2.33,,,,,,,358.03670680870766,40.46,0.38,1,,Triticum aestivum (Spring Wheat),2569.931102362205,3580.3670680870764
1999,7,-117.085006,46.778632,,SW,303.6220472440945,42.3,2.525,,,,,,,352.9226960362722,40.15,0.46,1,,Triticum aestivum (Spring Wheat),3036.2204724409453,3529.226960362722
1999,8,-117.08458799999998,46.778721000000004,,SW,183.4891732283465,41.98,2.177,,,,,,,306.73210025323874,44.1,0.32,1,,Triticum aestivum (Spring Wheat),1834.891732283465,3067.3210025323874
1999,9,-117.08417,46.778674,,SW,235.64960629921262,41.32,2.3569999999999998,,,,,,,467.3725229834993,43.37,0.36,1,,Triticum aestivum (Spring Wheat),2356.496062992126,4673.725229834993
1999,10,-117.083752,46.778737,,SW,221.884842519685,42.07,2.424,,,,,,,349.8208610813108,43.74,0.5,1,,Triticum aestivum (Spring Wheat),2218.8484251968503,3498.208610813108
1999,11,-117.08333400000001,46.778658,,SW,240.81692913385825,41.72,2.406,,,,,,,341.8834035932424,43.21,0.69,1,,Triticum aestivum (Spring Wheat),2408.1692913385823,3418.834035932424
1999,12,-117.08293984,46.77873108,,SW,239.92125984251967,42.84,2.526,,,,,,,357.3609300589763,44.32,0.4,1,,Triticum aestivum (Spring Wheat),2399.2125984251966,3573.609300589763
1999,13,-117.082498,46.778764,,SW,252.08169291338584,43.61,2.559,,,,,,,348.1730514022825,42.32,0.43,1,,Triticum aestivum (Spring Wheat),2520.816929133858,3481.730514022825
1999,14,-117.08163216,46.77868863,,SW,256.2795275590551,42.47,2.064,,,,,,,399.40138961288386,42.04,0.31,1,,Triticum aestivum (Spring Wheat),2562.7952755905512,3994.0138961288385
1999,15,-117.081244,46.778707,,SW,255.80708661417322,43.57,2.233,,,,,,,409.7949895686116,43.11,0.33,1,,Triticum aestivum (Spring Wheat),2558.070866141732,4097.949895686116
1999,16,-117.080408,46.778826,,SW,332.78543307086613,42.15,2.234,,,,,,,472.41075261239206,43.92,0.44,1,,Triticum aestivum (Spring Wheat),3327.854330708661,4724.10752612392
1999,17,-117.07999,46.778797,,SW,381.41732283464563,42.21,2.37,,,,,,,590.6265414618996,42.95,0.45,1,,Triticum aestivum (Spring Wheat),3814.173228346456,5906.265414618996
