planting_date,CropCAF,cultivar_name,planting_depth,planting_material_weight,Drill,drill_opener_type,drill_opener_configuration,drill_row_description,drill_fertilization_configuration,ExpUnitId_AgCROS,TreatmentId,Crop_AgCROS,PlantDensity_AgCROS,PlantingDepth_AgCROS,PlantingMethod_AgCROS,RowWidth_AgCROS
2002-10-18,WW,Falcon,1.0,80.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Triticum aestivum (Winter Wheat),89.66799999999999,2.54,Row,25.4
2010-04-05,SW,Louise,1.0,80.0,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Triticum aestivum (Spring Wheat),89.66799999999999,2.54,Twin Row,10.16
1999-05-15,SW,Wawawai,1.0,,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Triticum aestivum (Spring Wheat),,2.54,Row,25.4
2013-04-03,SW,Louise,1.0,120.0,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Triticum aestivum (Spring Wheat),134.50199999999998,2.54,Twin Row,10.16
2005-03-26,SW,Hank,1.0,100.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Triticum aestivum (Spring Wheat),112.085,2.54,Row,25.4
2005-10-21,WW,Falcon,1.0,80.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Triticum aestivum (Winter Wheat),89.66799999999999,2.54,Row,25.4
2014-11-01,WW,Amber,,,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Triticum aestivum (Winter Wheat),,,Twin Row,10.16
2007-08-22,WC,DKW13-86,1.0,6.5,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Brassica napus (Winter Canola),7.285525,2.54,Row,25.4
2002-04-15,SW,Hank,1.0,120.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Triticum aestivum (Spring Wheat),134.50199999999998,2.54,Row,25.4
2008-05-05,SC,Hyola 357,0.25,6.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Brassica napus (Spring Canola),6.725099999999999,0.635,Row,25.4
2004-04-12,SC,Dekalb 223,0.5,6.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Brassica napus (Spring Canola),6.725099999999999,1.27,Row,25.4
2001-03-26,SC,Ryder,0.25,8.0,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Brassica napus (Spring Canola),8.9668,0.635,Row,25.4
2008-10-17,WW,Eddy,1.0,84.0,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Triticum aestivum (Winter Wheat),94.1514,2.54,Twin Row,10.16
2011-05-14,GB,Sierra,1.5,160.0,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Cicer arietinum (Garbonzo Beans),179.33599999999998,3.81,Twin Row,10.16
2006-11-01,CF,(none),,,Great Plains 1510 CPH,double disc,uniform,"10"" rows","3"" depth, 10"" centers; turbo coulter",1,A4,Fallow,,,Row,25.4
2011-10-15,WW,Cara,,,Horsch with Anderson openers,hoe type (Anderson),paired row,"4"" paired rows on 12"" centers","4"" depth, 12"" centers; hoe type (Anderson) openers",1,A4,Triticum aestivum (Winter Wheat),,,Twin Row,10.16
